country,prison_rate_per100000
France,109
Iceland,36
Austria,98
United Kingdom: England & Wales,145
Norway,52
Italy,103
Canada,88
Croatia,106
Spain,113
Sweden,82
Germany,67
Finland,51
Netherlands,65
United States of America,531
Belgium,97
Egypt,116
Singapore,156
Japan,36
Denmark,69
Switzerland,73
